sweep,condition,seed,loss,STN,GPe,GPi,betaGPe,betaSTN,g_SG,g_GS,g_SGi,g_GGi
bounds,bounds_paper,42,0.2338,30.2,46.0,88.7,38.9,50.0,3.899,0.175,2.578,0.897
bounds,bounds_symmetric,42,0.0923,27.8,38.4,84.3,27.9,50.0,4.22,1.566,2.98,1.478
seeds,seeds_seed1,1,0.1248,29.0,42.3,82.6,39.7,64.1,2.722,0.166,3.536,1.041
seeds,seeds_seed123,123,0.1255,28.4,41.3,81.6,38.9,65.1,3.977,0.183,1.41,0.89
seeds,seeds_seed2024,2024,0.1237,28.9,42.4,82.8,38.4,61.9,3.349,0.18,2.501,0.325
seeds,seeds_seed42,42,0.137,29.5,42.6,81.4,40.1,61.9,4.629,0.156,2.213,1.027
seeds,seeds_seed7,7,0.393,33.3,37.8,83.8,20.4,11.9,1.973,0.691,3.682,0.826
weights,weights_equal_weights,42,0.4151,30.6,44.6,82.4,23.8,38.2,3.364,0.116,2.387,0.884
weights,weights_high_beta,42,0.5979,30.9,37.5,104.3,20.4,37.6,1.747,0.23,3.195,0.691
weights,weights_low_beta,42,0.1378,28.9,41.5,82.4,40.0,61.3,3.295,0.171,3.83,0.801
weights,weights_no_cv,42,0.0019,28.0,42.6,82.4,38.2,60.4,2.453,0.185,1.248,0.997
weights,weights_paper,42,0.1192,27.8,42.5,83.4,38.9,67.6,2.044,0.181,1.58,0.78
